Sl_no,Type_of_course_Aggregate,Type_of_fine_Aggregate_,Max._Size_of_Coarse_Aggregate_(mm),Cement_O.P.C_(Kg/m3),W/C_Ratio,Water_Content_(Kg/m3),7_day_str
1539,Crushed,Natural,20,300,0.48,145,35.5
1540,Crushed,Natural,40,375,0.46,170,24.6
1541,Crushed,Natural,40,375,0.46,170,24.6
1542,Crushed,Natural,40,375,0.44,165,30.4
1543,Crushed,Natural,40,375,0.44,165,30.4
1544,Crushed,Natural,40,375,0.48,180,22.4
1545,Crushed,Natural,40,375,0.48,180,22.4
1546,Crushed,Natural,40,375,0.48,180,26.1
1547,Crushed,Natural,40,375,0.48,180,26.1
1548,Crushed,Natural,20,375,0.47,175,24.1
1549,Crushed,Natural,20,350,0.46,160,28.1
1550,Crushed,Natural,20,400,0.45,180,41.4
1551,Crushed,Natural,20,375,0.49,185,34.9
1552,Crushed,Natural,20,370,0.51,190,35.9
1553,Crushed,Natural,20,360,0.46,165,32.2
1554,Crushed,Natural,20,400,0.45,180,30.3
1555,Crushed,Natural,20,375,0.48,180,37.2
1556,Crushed,Natural,20,365,0.45,165,37.4
1557,Crushed,Natural,20,365,0.45,165,37.4
1558,Crushed,Natural,20,365,0.44,160,27.7
1559,Crushed,Natural,20,375,0.48,165,29.4
1560,Crushed,Natural,20,400,0.45,170,34.5
1561,Crushed,Natural,20,400,0.45,180,35.7
1562,Crushed,Natural,20,350,0.47,165,28.3
1563,Crushed,Natural,20,400,0.45,180,35.7
1564,Crushed,Natural,20,340,0.47,160,25.9
1565,Crushed,Natural,20,410,0.44,180,42.6
1566,Crushed,Natural,20,410,0.44,180,42.6
1567,Crushed,Natural,20,365,0.52,190,37.9
1568,Crushed,Natural,20,400,0.48,190,39.2
1569,Crushed,Natural,20,365,0.52,190,37.9
1570,Crushed,Natural,20,365,0.52,190,37.9
1571,Crushed,Natural,20,400,0.48,190,39.2
1572,Crushed,Natural,20,370,0.46,170,35.7
1573,Crushed,Natural,20,375,0.51,190,36.3
1574,Crushed,Natural,20,375,0.48,180,36.5
1575,Crushed,Natural,20,375,0.51,190,38.1
1576,Crushed,Natural,20,360,0.49,185,37
1577,Crushed,Natural,20,375,0.51,190,41.9
1578,Crushed,Natural,20,400,0.45,180,39.5
1579,Crushed,Natural,20,400,0.45,180,39.5
1580,Crushed,Natural,20,400,0.45,180,39.5
1581,Crushed,Natural,20,375,0.51,190,38.1
1582,Crushed,Natural,20,360,0.49,185,37
1583,Crushed,Natural,20,370,0.52,190,25.9
1584,Crushed,Natural,20,370,0.52,190,25.9
1585,Crushed,Natural,20,400,0.4,160,30.2
1586,Crushed,Natural,20,365,0.52,190,31.1
1587,Crushed,Natural,20,350,0.47,165,34.3
1588,Crushed,Natural,20,365,0.52,190,31.1
1589,Crushed,Natural,20,365,0.44,160,33
1590,Crushed,Natural,20,450,0.33,150,37.1
1591,Crushed,Natural,20,400,0.42,168,29.6
1592,Crushed,Natural,20,400,0.47,190,0
1593,Crushed,Natural,20,400,0.47,190,38.2
1594,Crushed,Natural,20,400,0.47,190,38.2
1595,Crushed,Natural,20,365,0.52,190,29.6
1596,Crushed,Natural,20,400,0.47,190,38.2
1597,Crushed,Natural,20,365,0.52,190,29.6
1598,Crushed,Natural,20,350,0.46,160,31.4
1599,Crushed,Natural,20,350,0.48,180,32.8
1600,Crushed,Natural,20,375,0.44,165,32.4
1601,Crushed,Natural,20,375,0.48,180,32.2
1602,Crushed,Natural,20,365,0.45,165,32.1
1603,Crushed,Natural,20,365,0.46,170,32.9
1604,Crushed,Natural,20,365,0.49,180,39.8
1605,Crushed,Natural,20,400,0.45,170,34.6
1606,Crushed,Natural,20,350,0.46,160,34.1
1607,Crushed,Natural,20,400,0.44,175,28
1608,Crushed,Natural,20,365,0.47,170,33.2
1609,Crushed,Natural,20,365,0.49,180,39.8
1610,Crushed,Natural,20,375,0.45,170,34.7
1611,Crushed,Natural,20,360,0.46,165,36.8
1612,Crushed,Natural,20,365,0.45,165,35.4
1613,Crushed,Natural,20,365,0.45,165,35.4
1614,Crushed,Natural,20,315,0.49,165,32.7
1615,Crushed,Natural,20,360,0.5,180,34.7
1616,Crushed,Natural,20,375,0.49,185,45.9
1617,Crushed,Natural,20,360,0.5,180,42.3
1618,Crushed,Natural,20,360,0.5,180,31.1
1619,Crushed,Natural,20,375,0.48,180,37.2
1620,Crushed,Natural,20,370,0.46,170,33.4
1621,Crushed,Natural,20,375,0.45,170,38.6
1622,Crushed,Natural,20,360,0.5,180,34.7
1623,Crushed,Natural,20,360,0.5,180,42.3
1624,Crushed,Natural,20,360,0.5,180,31.1
1625,Crushed,Natural,20,365,0.51,185,35.4
1626,Crushed,Natural,20,375,0.51,190,26.8
1627,Crushed,Natural,20,375,0.51,190,26.8
1628,Crushed,Natural,20,375,0.47,175,26.8
1629,Crushed,Natural,20,375,0.45,170,38.6
1630,Crushed,Natural,20,375,0.51,190,26.8
1631,Crushed,Natural,20,375,0.49,185,28.3
1632,Crushed,Natural,20,375,0.49,185,28.3
1633,Crushed,Natural,20,375,0.49,185,38.7
1634,Crushed,Natural,20,375,0.49,185,28.3
1635,Crushed,Natural,20,375,0.49,185,38.7
1636,Crushed,Natural,20,385,0.49,190,34
1637,Crushed,Natural,20,375,0.49,185,45.9
1638,Crushed,Natural,20,365,0.45,165,35.4
1639,Crushed,Natural,20,370,0.5,185,35
1640,Crushed,Natural,20,375,0.48,185,44.2
1641,Crushed,Natural,20,360,0.46,165,40
1642,Crushed,Natural,20,360,0.46,165,0
1643,Crushed,Natural,20,370,0.5,185,35
1644,Crushed,Natural,20,375,0.48,180,29.8
1645,Crushed,Natural,20,375,0.48,180,29.8
1646,Crushed,Natural,20,375,0.49,185,41.1
1647,Crushed,Natural,20,375,0.49,185,36.3
1648,Crushed,Natural,20,375,0.49,185,33.4
1649,Crushed,Natural,20,360,0.46,165,40
1650,Crushed,Natural,20,375,0.48,185,44.2
1651,Crushed,Natural,20,300,0.48,145,35.5
1652,Crushed,Natural,20,375,0.49,185,36.3
1653,Crushed,Natural,20,375,0.49,185,41.1
1654,Crushed,Natural,20,300,0.48,145,34.7
1655,Crushed,Natural,20,365,0.44,160,27.7
1656,Crushed,Natural,20,325,0.48,157,35.4
1657,Crushed,Natural,20,400,0.4,160,30.2
1658,Crushed,Natural,20,400,0.45,180,34.6
1659,Crushed,Natural,20,365,0.51,185,30.7
1660,Crushed,Natural,20,365,0.51,185,27
1661,Crushed,Natural,20,350,0.47,165,28.3
1662,Crushed,Natural,20,365,0.49,180,35.9
1663,Crushed,Natural,20,365,0.49,180,35.9
1664,Crushed,Natural,20,375,0.49,185,30.7
1665,Crushed,Natural,20,365,0.47,170,32.9
1666,Crushed,Natural,20,375,0.48,180,33.6
1667,Crushed,Natural,20,375,0.48,180,34.2
1668,Crushed,Natural,20,375,0.49,185,38.3
1669,Crushed,Natural,20,365,0.51,185,36.8
1670,Crushed,Natural,20,375,0.43,160,34.9
1671,Crushed,Natural,20,375,0.48,180,33.6
1672,Crushed,Natural,20,360,0.46,170,41.2
1673,Crushed,Natural,20,375,0.49,185,30.5
1674,Crushed,Natural,20,375,0.51,190,35.9
1675,Crushed,Natural,20,375,0.51,190,35.9
1676,Crushed,Natural,20,375,0.51,190,35.9
1677,Crushed,Natural,20,365,0.52,185,36.8
1678,Crushed,Natural,20,365,0.52,190,35.2
1679,Crushed,Natural,20,400,0.45,180,30.3
1680,Crushed,Natural,20,365,0.52,185,36.8
1681,Crushed,Natural,20,375,0.48,180,37.6
1682,Crushed,Natural,20,365,0.52,190,35.2
1683,Crushed,Natural,20,400,0.45,180,34.5
1684,Crushed,Natural,20,350,0.46,160,34.1
1685,Crushed,Natural,20,375,0.5,185,33.5
1686,Crushed,Natural,20,375,0.45,170,36.1
1687,Crushed,Natural,20,375,0.48,180,37.6
1688,Crushed,Natural,20,360,0.46,170,41.2
1689,Crushed,Natural,20,375,0.45,170,36.1
1690,Crushed,Natural,20,365,0.51,185,36.8
1691,Crushed,Natural,20,360,0.46,165,32.2
1692,Crushed,Natural,20,375,0.48,180,33.5
1693,Crushed,Natural,20,365,0.44,160,33
1694,Crushed,Natural,20,365,0.44,160,35.2
1695,Crushed,Natural,20,380,0.47,180,0
1696,Crushed,Natural,20,380,0.45,180,0
1697,Crushed,Natural,20,400,0.45,180,33.9
1698,Crushed,Natural,20,380,0.45,180,27.7
1699,Crushed,Natural,20,400,0.44,175,0
1700,Crushed,Natural,20,360,0.46,165,34.1
1701,Crushed,Natural,20,400,0.44,175,31.4
1702,Crushed,Natural,20,375,0.46,172,34.6
1703,Crushed,Natural,20,400,0.44,175,31.4
1704,Crushed,Natural,20,365,0.51,185,36
1705,Crushed,Natural,20,370,0.51,190,37.1
1706,Crushed,Natural,20,370,0.51,185,38.5
1707,Crushed,Natural,20,370,0.51,190,37.6
1708,Crushed,Natural,20,370,0.51,190,37.6
1709,Crushed,Natural,20,375,0.48,190,30.7
1710,Crushed,Natural,20,375,0.48,190,30.7
1711,Crushed,Natural,20,365,0.51,185,28.9
1712,Crushed,Natural,20,365,0.51,185,28.9
1713,Crushed,Natural,20,375,0.46,172,34.6
1714,Crushed,Natural,20,370,0.46,170,35.3
1715,Crushed,Natural,20,370,0.46,170,35.3
1716,Crushed,Natural,20,400,0.42,160,35.7
1717,Crushed,Natural,20,375,0.49,185,32
1718,Crushed,Natural,20,375,0.49,185,32
1719,Crushed,Natural,20,375,0.44,165,34.1
1720,Crushed,Natural,20,400,0.45,180,34.6
1721,Crushed,Natural,20,365,0.45,165,33.8
1722,Crushed,Natural,20,375,0.48,180,23.4
1723,Crushed,Natural,20,340,0.47,160,37.3
1724,Crushed,Natural,20,375,0.48,180,23.4
1725,Crushed,Natural,20,340,0.47,160,25.9
1726,Crushed,Natural,20,400,0.45,180,33.1
1727,Crushed,Natural,20,400,0.45,180,33.1
1728,Crushed,Natural,20,340,0.47,160,37.3
1729,Crushed,Natural,20,365,0.47,170,33.2
1730,Crushed,Natural,20,375,0.48,180,33.2
1731,Crushed,Natural,20,350,0.47,165,34.3
1732,Crushed,Natural,20,350,0.48,180,32.8
1733,Crushed,Natural,20,365,0.48,175,31.3
1734,Crushed,Natural,20,375,0.51,190,30.5
1735,Crushed,Natural,20,375,0.48,180,33.2
1736,Crushed,Natural,20,365,0.48,175,31.3
1737,Crushed,Natural,20,350,0.47,165,31.3
1738,Crushed,Natural,20,365,0.45,165,32.1
1739,Crushed,Natural,20,375,0.51,190,30.5
1740,Crushed,Natural,20,375,0.48,180,40.9
1741,Crushed,Natural,20,375,0.49,185,26.8
1742,Crushed,Natural,20,385,0.47,180,39.2
1743,Crushed,Natural,20,375,0.48,180,40.9
1744,Crushed,Natural,20,375,0.49,185,26.8
1745,Crushed,Natural,20,365,0.47,170,34.8
1746,Crushed,Natural,20,375,0.51,190,20.7
1747,Crushed,Natural,20,375,0.51,190,22.2
1748,Crushed,Natural,20,375,0.51,190,20.7
1749,Crushed,Natural,20,375,0.51,190,22.2
1750,Crushed,Natural,20,375,0.48,180,27.3
1751,Crushed,Natural,20,375,0.49,185,25.1
1752,Crushed,Natural,20,375,0.48,180,27.3
1753,Crushed,Natural,20,375,0.49,185,29.4
1754,Crushed,Natural,20,375,0.49,185,38.6
1755,Crushed,Natural,20,375,0.49,185,38.6
1756,Crushed,Natural,20,375,0.49,185,32.3
1757,Crushed,Natural,20,375,0.49,185,25.1
1758,Crushed,Natural,20,375,0.49,185,29.5
1759,Crushed,Natural,20,375,0.47,190,34.2
1760,Crushed,Natural,20,375,0.49,185,29.5
1761,Crushed,Natural,20,375,0.47,190,34.2
1762,Crushed,Natural,20,380,0.42,160,36.6
1763,Crushed,Natural,20,400,0.42,185,36.4
1764,Crushed,Natural,20,385,0.49,190,34
1765,Crushed,Natural,20,350,0.47,165,31.1
1766,Crushed,Natural,20,365,0.47,170,34.8
1767,Crushed,Natural,20,360,0.46,165,33.5
1768,Crushed,Natural,20,375,0.5,185,39.2
1769,Crushed,Natural,20,370,0.46,170,38.2
1770,Crushed,Natural,20,375,0.51,190,45.9
1771,Crushed,Natural,20,400,0.42,168,29.6
1772,Crushed,Natural,20,360,0.46,165,33.5
1773,Crushed,Natural,20,410,0.46,190,36.9
1774,Crushed,Natural,20,400,0.44,175,28
1775,Crushed,Natural,20,375,0.48,180,32.2
1776,Crushed,Natural,20,400,0.44,175,29.9
1777,Crushed,Natural,20,450,0.33,150,37.1
1778,Crushed,Natural,20,400,0.44,175,29.9
1779,Crushed,Natural,20,375,0.47,175,34
1780,Crushed,Natural,20,375,0.49,185,28.3
1781,Crushed,Natural,20,375,0.51,190,36.3
1782,Crushed,Natural,20,350,0.48,168,36.1
1783,Crushed,Natural,20,375,0.49,185,38.3
1784,Crushed,Natural,20,375,0.51,190,27.6
1785,Crushed,Natural,20,375,0.48,180,33.5
1786,Crushed,Natural,20,400,0.45,170,34.6
1787,Crushed,Natural,20,400,0.45,170,34.5
1788,Crushed,Natural,20,375,0.51,190,41.9
1789,Crushed,Natural,20,400,0.45,180,39.5
1790,Crushed,Natural,20,350,0.47,165,42.1
1791,Crushed,Natural,20,375,0.52,195,41
1792,Crushed,Natural,20,350,0.47,165,42.1
1793,Crushed,Natural,20,350,0.48,168,36.1
1794,Crushed,Natural,20,365,0.51,185,35.4
1795,Crushed,Natural,20,375,0.48,165,29.4
1796,Crushed,Natural,40,350,0.48,170,36.9
1797,Crushed,Natural,40,360,0.44,160,37.3
1798,Crushed,Natural,40,350,0.53,185,27
1799,Crushed,Natural,40,360,0.44,160,37.3
1800,Crushed,Natural,40,350,0.53,185,27
1801,Crushed,Natural,40,375,0.47,175,32.5
1802,Crushed,Natural,40,350,0.48,168,36.5
1803,Crushed,Natural,40,350,0.48,168,36.5
1804,Crushed,Natural,40,350,0.48,168,36.4
1805,Crushed,Natural,40,355,0.48,170,35.5
1806,Crushed,Natural,40,400,0.45,180,36.6
1807,Crushed,Natural,40,375,0.47,175,32.5
1808,Crushed,Natural,40,350,0.46,160,34.9
1809,Crushed,Natural,40,350,0.46,160,34.9
1810,Crushed,Natural,40,350,0.46,160,32.4
1811,Crushed,Natural,40,350,0.48,168,38
1812,Crushed,Natural,40,375,0.41,155,0
1813,Crushed,Natural,40,375,0.41,155,31.2
1814,Crushed,Natural,40,375,0.41,155,31.2
1815,Crushed,Natural,40,375,0.44,165,32.6
1816,Crushed,Natural,40,375,0.44,165,32.6
1817,Crushed,Natural,40,350,0.46,160,32.4
1818,Crushed,Natural,40,375,0.44,165,32.6
1819,Crushed,Natural,40,375,0.45,170,35.2
1820,Crushed,Natural,40,365,0.45,165,32.5
1821,Crushed,Natural,40,365,0.45,165,36.2
1822,Crushed,Natural,40,365,0.45,165,35.8
1823,Crushed,Natural,40,365,0.45,165,33
1824,Crushed,Natural,40,375,0.45,170,35.2
1825,Crushed,Natural,40,375,0.45,170,31.9
1826,Crushed,Natural,40,365,0.47,170,36.4
1827,Crushed,Natural,40,375,0.44,165,32.6
1828,Crushed,Natural,40,365,0.47,170,36.4
1829,Crushed,Natural,40,370,0.46,170,24.4
1830,Crushed,Natural,40,375,0.44,165,32.6
1831,Crushed,Natural,40,375,0.46,172,34.6
1832,Crushed,Natural,40,370,0.46,170,29.6
1833,Crushed,Natural,40,360,0.46,165,29.4
1834,Crushed,Natural,40,360,0.46,165,33.7
1835,Crushed,Natural,40,375,0.51,190,33.4
1836,Crushed,Natural,40,360,0.46,165,29.4
1837,Crushed,Natural,40,375,0.51,190,33.4
1838,Crushed,Natural,40,365,0.44,160,33.7
1839,Crushed,Natural,40,370,0.46,170,29.6
1840,Crushed,Natural,40,400,0.4,180,28.7
1841,Crushed,Natural,40,365,0.44,160,33.7
1842,Crushed,Natural,40,365,0.44,160,38.4
1843,Crushed,Natural,40,400,0.45,180,28.7
1844,Crushed,Natural,40,365,0.44,160,35.2
1845,Crushed,Natural,40,365,0.44,160,38.4
1846,Crushed,Natural,40,375,0.45,170,35.6
1847,Crushed,Natural,40,360,0.44,160,30.6
1848,Crushed,Natural,40,375,0.44,165,32.2
1849,Crushed,Natural,40,360,0.45,160,33.1
1850,Crushed,Natural,40,360,0.46,165,27.4
1851,Crushed,Natural,40,375,0.44,165,32.2
1852,Crushed,Natural,40,360,0.45,160,33.1
1853,Crushed,Natural,40,360,0.46,165,27.4
1854,Crushed,Natural,40,360,0.44,160,30.6
1855,Crushed,Natural,40,380,0.44,165,38.1
1856,Crushed,Natural,40,340,0.47,160,31.5
1857,Crushed,Natural,40,375,0.44,165,31.7
1858,Crushed,Natural,40,380,0.44,165,38.1
1859,Crushed,Natural,40,365,0.47,165,34.6
1860,Crushed,Natural,40,350,0.47,165,34.6
1861,Crushed,Natural,40,375,0.48,180,34.2
1862,Crushed,Natural,40,375,0.45,170,35.3
1863,Crushed,Natural,40,375,0.43,160,29.2
1864,Crushed,Natural,40,375,0.43,160,28.8
1865,Crushed,Natural,40,350,0.47,165,35.6
1866,Crushed,Natural,40,365,0.45,165,30.2
1867,Crushed,Natural,40,375,0.45,170,31
1868,Crushed,Natural,40,365,0.45,165,30.2
1869,Crushed,Natural,40,375,0.44,165,30.4
1870,Crushed,Natural,40,375,0.44,165,30.4
1871,Crushed,Natural,40,350,0.46,160,33.5
1872,Crushed,Natural,40,350,0.46,160,33.5
1873,Crushed,Natural,40,360,0.47,170,41.8
1874,Crushed,Natural,40,360,0.47,170,41.8
1875,Crushed,Natural,40,375,0.45,170,35.2
1876,Crushed,Natural,40,375,0.45,190,36.9
1877,Crushed,Natural,40,375,0.44,165,36.7
1878,Crushed,Natural,40,375,0.44,165,36.7
1879,Crushed,Natural,40,375,0.45,170,35.1
1880,Crushed,Natural,40,375,0.45,170,35.1
1881,Crushed,Natural,40,365,0.48,175,26.1
1882,Crushed,Natural,40,365,0.48,175,26.1
1883,Crushed,Natural,40,375,0.48,180,26.1
1884,Crushed,Natural,40,350,0.48,168,39.1
1885,Crushed,Natural,40,350,0.48,168,34.1
1886,Crushed,Natural,40,350,0.48,168,37.9
1887,Crushed,Natural,40,365,0.47,170,23.3
1888,Crushed,Natural,40,375,0.48,180,26.1
1889,Crushed,Natural,40,350,0.48,168,39.1
1890,Crushed,Natural,40,350,0.48,168,34.1
1891,Crushed,Natural,40,375,0.46,165,29
1892,Crushed,Natural,40,375,0.44,165,27.7
1893,Crushed,Natural,40,350,0.48,168,37.9
1894,Crushed,Natural,40,365,0.47,170,23.3
1895,Crushed,Natural,40,375,0.48,165,23.3
1896,Crushed,Natural,40,375,0.46,165,29
1897,Crushed,Natural,40,375,0.44,165,27.7
1898,Crushed,Natural,40,375,0.48,165,23.3
1899,Crushed,Natural,40,375,0.47,175,40
1900,Crushed,Natural,40,375,0.47,175,40
1901,Crushed,Natural,40,375,0.49,185,33.3
1902,Crushed,Natural,40,375,0.49,185,33.3
1903,Crushed,Natural,40,400,0.45,180,39.4
1904,Crushed,Natural,40,375,0.45,170,28.4
1905,Crushed,Natural,40,400,0.45,180,39.4
1906,Crushed,Natural,40,375,0.45,170,23.1
1907,Crushed,Natural,40,375,0.45,170,28.4
1908,Crushed,Natural,40,375,0.45,170,23.1
1909,Crushed,Natural,40,355,0.48,170,35.3
1910,Crushed,Natural,40,350,0.47,165,35.6
1911,Crushed,Natural,40,375,0.45,170,35.6
1912,Crushed,Natural,40,385,0.47,180,39.2
1913,Crushed,Natural,40,360,0.46,165,33.7
1914,Crushed,Natural,40,375,0.43,160,29.2
1915,Crushed,Natural,40,375,0.43,160,28.8
1916,Crushed,Natural,40,340,0.47,160,31.5
1917,Crushed,Natural,40,400,0.48,190,33.3
1918,Crushed,Natural,40,360,0.45,165,39.9
1919,Crushed,Natural,40,350,0.47,165,25.5
1920,Crushed,Natural,40,375,0.45,170,35.2
1921,Crushed,Natural,40,375,0.45,170,31
1922,Crushed,Natural,40,375,0.45,190,33.7
1923,Crushed,Natural,40,375,0.47,180,36.1
1924,Crushed,Natural,40,350,0.46,160,38.9
1925,Crushed,Natural,40,400,0.45,180,36.6
1926,Crushed,Natural,40,375,0.45,170,35.3
1927,Crushed,Natural,40,350,0.46,160,32.4
1928,Crushed,Natural,40,375,0.49,185,35.7
1929,Crushed,Natural,40,350,0.48,168,38
1930,Crushed,Natural,40,375,0.44,165,26.7
1931,Crushed,Natural,40,375,0.48,180,30.3
1932,Crushed,Natural,40,360,0.45,165,39.3
1933,Crushed,Natural,40,350,0.46,160,38.9
1934,Crushed,Natural,40,350,0.47,165,25.5
1935,Crushed,Natural,40,360,0.46,165,25.8
1936,Crushed,Natural,40,350,0.46,160,32.4
1937,Crushed,Natural,20,350,0.46,160,33.6
1939,Crushed,Natural,20,400,0.45,180,34.5
1940,Crushed,Natural,20,385,0.48,215,22.3
1941,Crushed,Natural,20,315,0.49,165,32.7
1942,Crushed,Natural,20,400,0.45,180,41.4
1943,Crushed,Natural,20,375,0.49,185,34.9
1944,Crushed,Natural,20,370,0.51,190,35.9
1945,Crushed,Natural,20,300,0.48,145,35.5
1946,Crushed,Natural,20,300,0.48,145,34.7
1947,Crushed,Natural,20,325,0.48,157,35.4
1948,Crushed,Natural,20,375,0.51,190,25.6
1949,Crushed,Natural,20,365,0.45,165,37.4
1950,Crushed,Natural,20,365,0.45,165,37.4
1951,Crushed,Natural,20,340,0.47,160,37.3
1952,Crushed,Natural,20,375,0.51,190,29.1
1953,Crushed,Natural,20,340,0.47,160,37.3
1954,Crushed,Natural,20,340,0.47,160,25.9
1955,Crushed,Natural,20,375,0.48,175,27
1956,Crushed,Natural,20,400,0.45,180,35.7
1957,Crushed,Natural,20,400,0.45,180,30.3
1958,Crushed,Natural,20,400,0.45,180,35.7
1959,Crushed,Natural,20,375,0.48,180,21.9
1960,Crushed,Natural,20,375,0.51,190,24.2
1961,Crushed,Natural,20,375,0.41,190,25.6
1962,Crushed,Natural,20,375,0.51,190,24.6
1963,Crushed,Natural,20,400,0.45,180,30.3
1964,Crushed,Natural,20,375,0.6,225,21
1965,Crushed,Natural,20,375,0.49,185,24.8
1966,Crushed,Natural,20,375,0.48,180,24.8
1967,Crushed,Natural,20,400,0.46,185,25.5
1968,Crushed,Natural,20,375,0.51,190,24.6
1969,Crushed,Natural,20,410,0.44,180,42.6
1970,Crushed,Natural,20,410,0.44,180,42.6
1971,Crushed,Natural,20,365,0.52,190,37.9
1972,Crushed,Natural,20,400,0.48,190,39.2
1973,Crushed,Natural,20,365,0.52,190,37.9
1974,Crushed,Natural,20,365,0.52,190,37.9
1975,Crushed,Natural,20,400,0.44,175,25.9
1976,Crushed,Natural,20,400,0.48,190,39.2
1977,Crushed,Natural,20,375,0.48,180,27.9
1978,Crushed,Natural,20,385,0.47,180,25.9
1979,Crushed,Natural,20,375,0.48,180,27.2
1980,Crushed,Natural,20,370,0.46,170,35.3
1981,Crushed,Natural,20,375,0.47,175,24.5
1982,Crushed,Natural,20,380,0.46,175,28.8
1983,Crushed,Natural,20,375,0.51,190,31.4
1984,Crushed,Natural,20,375,0.51,190,36.3
1985,Crushed,Natural,20,375,0.48,180,36.5
1986,Crushed,Natural,20,375,0.51,190,38.1
1987,Crushed,Natural,20,360,0.49,185,37
1988,Crushed,Natural,20,375,0.53,200,24.5
1989,Crushed,Natural,20,375,0.51,190,41.9
1990,Crushed,Natural,20,400,0.45,180,39.5
1991,Crushed,Natural,20,400,0.45,180,39.5
1992,Crushed,Natural,20,400,0.45,180,39.5
1993,Crushed,Natural,20,375,0.51,190,38.1
1994,Crushed,Natural,20,360,0.49,185,37
1995,Crushed,Natural,20,375,0.49,185,27.4
1996,Crushed,Natural,20,375,0.49,185,28.1
1997,Crushed,Natural,20,370,0.52,190,25.9
1998,Crushed,Natural,20,370,0.52,190,25.9
1999,Crushed,Natural,20,400,0.54,215,26.3
2000,Crushed,Natural,20,375,0.51,190,30.7
2001,Crushed,Natural,20,375,0.48,180,37.2
2002,Crushed,Natural,20,375,0.49,185,24.7
2003,Crushed,Natural,20,365,0.52,190,31.1
2004,Crushed,Natural,20,365,0.48,175,25.8
2005,Crushed,Natural,20,370,0.46,170,33.4
2006,Crushed,Natural,20,365,0.52,190,31.1
2007,Crushed,Natural,20,370,0.46,170,35.3
2008,Crushed,Natural,20,450,0.33,150,37.1
2009,Crushed,Natural,20,400,0.42,168,29.6
2010,Crushed,Natural,20,400,0.47,190,0
2011,Crushed,Natural,20,400,0.47,190,38.2
2012,Crushed,Natural,20,400,0.47,190,38.2
2013,Crushed,Natural,20,365,0.52,190,29.6
2014,Crushed,Natural,20,400,0.47,190,38.2
2015,Crushed,Natural,20,365,0.52,190,29.6
2016,Crushed,Natural,20,365,0.46,170,32.9
2017,Crushed,Natural,20,400,0.4,160,30.2
2018,Crushed,Natural,20,400,0.4,160,30.2
2019,Crushed,Natural,20,360,0.46,165,40
2020,Crushed,Natural,20,400,0.45,180,34.6
2021,Crushed,Natural,20,350,0.47,165,28.3
2022,Crushed,Natural,20,375,0.49,185,30.5
2023,Crushed,Natural,20,375,0.51,190,33.7
2024,Crushed,Natural,20,365,0.49,180,39.8
2025,Crushed,Natural,20,400,0.45,180,34.6
2026,Crushed,Natural,20,350,0.47,165,28.3
2027,Crushed,Natural,20,375,0.51,190,28.1
2028,Crushed,Natural,20,410,0.51,210,31.6
2029,Crushed,Natural,20,400,0.45,180,33.1
2030,Crushed,Natural,20,365,0.45,165,33.8
2031,Crushed,Natural,20,365,0.49,180,39.8
2032,Crushed,Natural,20,365,0.47,170,32.9
2033,Crushed,Natural,20,400,0.45,180,33.1
2034,Crushed,Natural,20,365,0.44,160,33
2035,Crushed,Natural,20,360,0.51,185,33.9
2036,Crushed,Natural,20,390,0.51,215,30.7
2037,Crushed,Natural,20,375,0.51,190,31.9
2038,Crushed,Natural,20,385,0.51,195,32.8
2039,Crushed,Natural,20,365,0.44,160,33
2040,Crushed,Natural,20,375,0.51,190,34.9
2041,Crushed,Natural,20,360,0.46,165,32.2
2042,Crushed,Natural,20,360,0.5,180,34.7
2043,Crushed,Natural,20,375,0.49,185,45.9
2044,Crushed,Natural,20,360,0.5,180,42.3
2045,Crushed,Natural,20,360,0.5,180,31.1
2046,Crushed,Natural,20,350,0.46,160,33.6
2047,Crushed,Natural,20,360,0.46,165,36.8
2048,Crushed,Natural,20,360,0.46,165,34.1
2049,Crushed,Natural,20,360,0.5,180,34.7
2050,Crushed,Natural,20,360,0.5,180,42.3
2051,Crushed,Natural,20,360,0.5,180,31.1
2052,Crushed,Natural,20,365,0.51,185,35.4
2053,Crushed,Natural,20,380,0.45,180,34.4
2054,Crushed,Natural,20,375,0.51,190,26.8
2055,Crushed,Natural,20,375,0.51,190,26.8
2056,Crushed,Natural,20,375,0.47,175,26.8
2057,Crushed,Natural,20,375,0.46,172,34.6
2058,Crushed,Natural,20,370,0.51,190,35.9
2059,Crushed,Natural,20,375,0.51,190,26.8
2060,Crushed,Natural,20,375,0.49,185,28.3
2061,Crushed,Natural,20,375,0.49,185,28.3
2062,Crushed,Natural,20,375,0.49,185,33.1
2063,Crushed,Natural,20,375,0.49,185,38.7
2064,Crushed,Natural,20,375,0.49,185,28.3
2065,Crushed,Natural,20,375,0.49,185,38.7
2066,Crushed,Natural,20,400,0.54,215,39
2067,Crushed,Natural,20,400,0.54,215,31.2
2068,Crushed,Natural,20,385,0.49,190,34
2069,Crushed,Natural,20,375,0.49,185,45.9
2070,Crushed,Natural,20,375,0.44,190,32
2071,Crushed,Natural,20,375,0.44,165,32.4
2072,Crushed,Natural,20,370,0.5,185,35
2073,Crushed,Natural,20,375,0.48,185,44.2
2074,Crushed,Natural,20,360,0.46,170,41.2
2075,Crushed,Natural,20,365,0.45,165,35.4
2076,Crushed,Natural,20,370,0.5,185,35
2077,Crushed,Natural,20,375,0.48,180,29.8
