Sl_no,Type_of_course_Aggregate,Type_of_fine_Aggregate_,Max._Size_of_Coarse_Aggregate_(mm),Cement_O.P.C_(Kg/m3),W/C_Ratio,Water_Content_(Kg/m3),7_day_str
1121,Crushed,Natural,40,350,0.48,168,38
1122,Crushed,Natural,40,375,0.51,190,36.2
1123,Crushed,Natural,40,375,0.48,180,27.4
1124,Crushed,Natural,40,375,0.48,180,31.8
1125,Crushed,Natural,40,375,0.48,180,27.4
1126,Crushed,Natural,40,370,0.46,170,30
1127,Crushed,Natural,40,370,0.46,170,30
1128,Crushed,Natural,40,400,0.48,190,33.3
1129,Crushed,Natural,40,360,0.44,160,37.3
1130,Crushed,Natural,40,360,0.44,160,37.3
1131,Crushed,Natural,40,385,0.47,180,27.7
1132,Crushed,Natural,40,385,0.47,180,27.7
1133,Crushed,Natural,20,400,0.45,180,33.1
1134,Crushed,Natural,20,400,0.45,180,33.1
1135,Crushed,Natural,20,365,0.45,165,33.8
1136,Crushed,Natural,40,375,0.44,165,36.7
1137,Crushed,Natural,40,375,0.44,165,36.7
1138,Crushed,Natural,20,360,0.46,165,33.5
1139,Crushed,Natural,20,360,0.46,165,33.5
1140,Crushed,Natural,40,400,0.46,180,33
1141,Crushed,Natural,40,365,0.45,165,36.2
1142,Crushed,Natural,40,365,0.45,165,35.8
1143,Crushed,Natural,40,365,0.45,165,33
1144,Crushed,Natural,20,375,0.48,180,33.2
1145,Crushed,Natural,20,375,0.48,180,33.2
1146,Crushed,Natural,20,375,0.48,180,32.2
1147,Crushed,Natural,20,375,0.48,180,32.2
1148,Crushed,Natural,20,400,0.54,215,26.3
1149,Crushed,Natural,20,400,0.54,215,26.3
1150,Crushed,Natural,20,410,0.46,190,36.9
1151,Crushed,Natural,20,380,0.46,175,28.8
1152,Crushed,Natural,20,360,0.46,165,36.8
1153,Crushed,Natural,20,375,0.47,175,26.8
1154,Crushed,Natural,20,375,0.47,175,34
1155,Crushed,Natural,20,375,0.51,190,28.1
1156,Crushed,Natural,20,375,0.51,190,28.1
1157,Crushed,Natural,40,370,0.46,170,29.6
1158,Crushed,Natural,40,370,0.46,170,29.6
1159,Crushed,Natural,40,375,0.48,180,29.1
1160,Crushed,Natural,40,375,0.48,180,29.1
1161,Crushed,Natural,40,350,0.46,160,34.9
1162,Crushed,Natural,40,350,0.46,160,34.9
1163,Crushed,Natural,20,400,0.45,180,33.9
1164,Crushed,Natural,20,340,0.47,160,37.3
1165,Crushed,Natural,20,340,0.47,160,37.3
1166,Crushed,Natural,20,340,0.47,160,25.9
1167,Crushed,Natural,20,340,0.47,160,25.9
1168,Crushed,Natural,20,375,0.51,190,38.1
1169,Crushed,Natural,20,375,0.51,190,38.1
1170,Crushed,Natural,20,375,0.43,160,34.9
1171,Crushed,Natural,20,375,0.43,160,34.9
1172,Crushed,Natural,20,375,0.43,160,34.9
1173,Crushed,Natural,40,375,0.47,180,36.1
1174,Crushed,Natural,20,375,0.51,190,22.2
1175,Crushed,Natural,20,375,0.51,190,22.2
1176,Crushed,Natural,20,375,0.51,190,34.9
1177,Crushed,Natural,20,375,0.51,190,34.9
1178,Crushed,Natural,40,375,0.48,180,20.8
1179,Crushed,Natural,40,375,0.48,180,20.8
1180,Crushed,Natural,40,400,0.5,200,29.2
1181,Crushed,Natural,40,400,0.5,200,29.2
1182,Crushed,Natural,20,375,0.48,180,29.8
1183,Crushed,Natural,20,375,0.48,180,29.8
1184,Crushed,Natural,20,375,0.51,190,36.3
1185,Crushed,Natural,20,375,0.51,190,36.3
1186,Crushed,Natural,40,375,0.46,165,29
1187,Crushed,Natural,40,375,0.44,165,27.7
1188,Crushed,Natural,40,375,0.46,165,29
1189,Crushed,Natural,40,375,0.44,165,27.7
